"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"MAPK1",0,0.293211411162682,1,0.998,0,"SPN_matrix","MAPK1",0.002,0.000586422822325365
"MTHFD1",0,0.292643893775859,0.922,0.776,0,"SPN_matrix","MTHFD1",0.146,0.0427260084912754
"ANKRD28",0,0.292610603571363,1,0.998,0,"SPN_matrix","ANKRD28",0.002,0.000585221207142727
"SLC6A6",0,0.292098447973971,0.915,0.774,0,"SPN_matrix","SLC6A6",0.141,0.0411858811643299
"TPBG",0,0.290888759084923,0.783,0.423,0,"SPN_matrix","TPBG",0.36,0.104719953270572
"GAP43",0,0.290798736277701,0.972,0.764,0,"SPN_matrix","GAP43",0.208,0.0604861371457618
"SH3GL3",0,0.290427856442035,0.997,0.983,0,"SPN_matrix","SH3GL3",0.014,0.00406598999018849
"BTBD9",0,0.290406115087451,1,0.997,0,"SPN_matrix","BTBD9",0.003,0.000871218345262353
"TDRP",0,0.286576120079551,0.979,0.918,0,"SPN_matrix","TDRP",0.0609999999999999,0.0174811433248526
"G2E3",0,0.286554190646286,0.988,0.94,0,"SPN_matrix","G2E3",0.048,0.0137546011510217
"KCNIP2",0,0.286513872426169,0.978,0.851,0,"SPN_matrix","KCNIP2",0.127,0.0363872617981234
"NEGR1",0,0.285621585712403,1,0.997,0,"SPN_matrix","NEGR1",0.003,0.000856864757137211
"TLK1",0,0.285092277526964,0.999,0.988,0,"SPN_matrix","TLK1",0.011,0.0031360150527966
"GREM2",0,0.284078530537434,0.7,0.464,0,"SPN_matrix","GREM2",0.236,0.0670425332068343
"SYT7",0,0.283595432939612,0.907,0.667,0,"SPN_matrix","SYT7",0.24,0.068062903905507
"PLEKHA6",0,0.281859571533846,0.999,0.944,0,"SPN_matrix","PLEKHA6",0.055,0.0155022764343615
"BAIAP2",0,0.28097234687035,0.994,0.864,0,"SPN_matrix","BAIAP2",0.13,0.0365264050931455
"HYDIN",0,0.280888915805049,0.964,0.85,0,"SPN_matrix","HYDIN",0.114,0.0320213364017755
"CD58",0,0.279969849204518,0.468,0.051,0,"SPN_matrix","CD58",0.417,0.116747427118284
"ANO2",0,0.276758601563212,0.528,0.214,0,"SPN_matrix","ANO2",0.314,0.0869022008908485
"KCTD17",0,0.275750402963539,0.886,0.638,0,"SPN_matrix","KCTD17",0.248,0.0683860999349577
"SYNDIG1L",0,0.274714070686997,0.964,0.73,0,"SPN_matrix","SYNDIG1L",0.234,0.0642830925407573
"SLC22A23",0,0.272176745290603,0.995,0.964,0,"SPN_matrix","SLC22A23",0.031,0.00843747910400871
"GCNT4",0,0.271625152721639,0.679,0.353,0,"SPN_matrix","GCNT4",0.326,0.0885497997872543
"GRAMD1C",0,0.271334302931514,0.813,0.524,0,"SPN_matrix","GRAMD1C",0.289,0.0784156135472076
"PUM3",0,0.270786249200872,0.999,0.989,0,"SPN_matrix","PUM3",0.01,0.00270786249200872
"GPR63",0,0.270236760236691,0.947,0.784,0,"SPN_matrix","GPR63",0.163,0.0440485919185805
"CCNY",0,0.270231254027712,1,0.998,0,"SPN_matrix","CCNY",0.002,0.000540462508055425
"UBTD2",0,0.269141690490212,0.846,0.668,0,"SPN_matrix","UBTD2",0.178,0.0479072209072578
"DNMT3A",0,0.268557017426695,0.999,0.99,0,"SPN_matrix","DNMT3A",0.00900000000000001,0.00241701315684026
"GCNT1",0,0.267462525238181,0.812,0.567,0,"SPN_matrix","GCNT1",0.245,0.0655283186833544
"BTBD7",0,0.261812361442789,0.979,0.927,0,"SPN_matrix","BTBD7",0.0519999999999999,0.013614242795025
"STARD4",0,0.261199097931721,0.877,0.623,0,"SPN_matrix","STARD4",0.254,0.066344570874657
"B3GALT5",0,0.259149998506891,0.989,0.867,0,"SPN_matrix","B3GALT5",0.122,0.0316162998178408
"TMOD3",0,0.256940499893411,0.927,0.798,0,"SPN_matrix","TMOD3",0.129,0.03314532448625
"ALDH3A2",0,0.256918880830858,0.972,0.875,0,"SPN_matrix","ALDH3A2",0.097,0.0249211314405932
"PRB2",0,0.256771286710576,0.913,0.751,0,"SPN_matrix","PRB2",0.162,0.0415969484471134
"CACNA1A",0,0.255247896054894,1,0.999,0,"SPN_matrix","CACNA1A",0.001,0.000255247896054894
"PLK2",0,0.253585630396599,0.886,0.633,0,"SPN_matrix","PLK2",0.253,0.0641571644903395
"RGS14",0,0.253506484918438,0.692,0.342,0,"SPN_matrix","RGS14",0.35,0.0887272697214532
"C20orf27",0,0.250438714081787,0.761,0.475,0,"SPN_matrix","C20orf27",0.286,0.071625472227391
"CCDC148",2.16907963794705e-306,0.280420990570508,0.965,0.878,7.04321849237786e-302,"SPN_matrix","CCDC148",0.087,0.0243966261796342
"CFTR",1.8489750265409e-305,0.261211223221857,0.858,0.663,6.00380680868095e-301,"SPN_matrix","CFTR",0.195,0.0509361885282622
