"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPM1E1",0,1.11407820087432,0.788,0.164,0,"eSPN","PPM1E"
"MAN2A11",0,1.10698980467426,0.993,0.883,0,"eSPN","MAN2A1"
"PCSK21",0,1.09812012317289,1,0.993,0,"eSPN","PCSK2"
"EPHA6",0,1.08805663787346,1,0.998,0,"eSPN","EPHA6"
"CTNNA3",0,1.08369052315762,0.957,0.696,0,"eSPN","CTNNA3"
"COL11A1",0,1.08136233958093,0.947,0.499,0,"eSPN","COL11A1"
"AP000943.21",0,1.08111082902981,0.703,0.123,0,"eSPN","AP000943.2"
"LRP1B2",0,1.07885608971825,1,0.999,0,"eSPN","LRP1B"
"MTSS12",0,1.07560709225568,0.998,0.854,0,"eSPN","MTSS1"
"CAMK2D1",0,1.05608118381994,0.746,0.216,0,"eSPN","CAMK2D"
"LRRTM3",0,1.05522172258229,1,0.988,0,"eSPN","LRRTM3"
"AMOTL11",0,1.04366595377778,0.76,0.066,0,"eSPN","AMOTL1"
"PTPRT1",0,1.03540886990698,0.974,0.943,0,"eSPN","PTPRT"
"GPR1581",0,1.02820003806766,1,0.991,0,"eSPN","GPR158"
"RAPGEF21",0,1.01876595904133,0.999,0.918,0,"eSPN","RAPGEF2"
"MAGI22",0,1.01676731923829,1,1,0,"eSPN","MAGI2"
"PHACTR12",0,0.990002582144866,1,0.998,0,"eSPN","PHACTR1"
"SHROOM31",0,0.984684745519868,0.641,0.048,0,"eSPN","SHROOM3"
"CDH103",0,0.972635712285493,0.811,0.33,0,"eSPN","CDH10"
"PMEPA11",0,0.971904678676891,0.862,0.458,0,"eSPN","PMEPA1"
"GPR1491",0,0.956057308963688,0.984,0.94,0,"eSPN","GPR149"
"IVNS1ABP",0,0.952730602451598,0.986,0.863,0,"eSPN","IVNS1ABP"
"BCL22",0,0.948620854402639,0.731,0.215,0,"eSPN","BCL2"
"CASZ1",0,0.924698295548433,0.702,0.016,0,"eSPN","CASZ1"
"WLS1",0,0.923875627860977,0.693,0.147,0,"eSPN","WLS"
"PBX1",0,0.922829630163083,1,0.981,0,"eSPN","PBX1"
"GPHN1",0,0.903933994378773,1,1,0,"eSPN","GPHN"
"PTPRO1",0,0.901911845377225,0.999,0.988,0,"eSPN","PTPRO"
"BICC1",0,0.900782819236618,0.72,0.403,0,"eSPN","BICC1"
"FMN11",0,0.900713603549808,0.708,0.193,0,"eSPN","FMN1"
"SLCO5A11",0,0.895379192489317,0.667,0.241,0,"eSPN","SLCO5A1"
"DOCK1",0,0.871290488514602,0.772,0.352,0,"eSPN","DOCK1"
"CAMK2N11",0,0.868947308983462,0.882,0.517,0,"eSPN","CAMK2N1"
"GPRIN31",0,0.867343076078874,0.999,0.955,0,"eSPN","GPRIN3"
"RASGRP11",0,0.866259378214719,0.989,0.839,0,"eSPN","RASGRP1"
"TENM12",0,0.864002110155892,0.969,0.736,0,"eSPN","TENM1"
"CADM21",0,0.859294905072586,1,1,0,"eSPN","CADM2"
"SLC24A32",0,0.858414527802943,0.996,0.84,0,"eSPN","SLC24A3"
"SLIT11",0,0.854931650464608,0.773,0.276,0,"eSPN","SLIT1"
"KIRREL11",0,0.85446962156601,0.691,0.049,0,"eSPN","KIRREL1"
"DPYD1",0,0.845106372024599,0.999,0.959,0,"eSPN","DPYD"
"ENAH1",0,0.841230391632506,0.776,0.231,0,"eSPN","ENAH"
"GDNF-AS1",0,0.832065092769947,0.566,0.157,0,"eSPN","GDNF-AS1"
"GPM6A3",0,0.830643983521193,1,0.985,0,"eSPN","GPM6A"
"EPHA41",0,0.822661995485231,0.995,0.866,0,"eSPN","EPHA4"
"S100Z1",0,0.82229395492508,0.672,0.13,0,"eSPN","S100Z"
"PDE10A2",0,0.821930374009202,1,0.991,0,"eSPN","PDE10A"
"NT5DC1",0,0.816872072156502,0.993,0.948,0,"eSPN","NT5DC1"
"OPCML1",0,0.815896205612295,1,0.994,0,"eSPN","OPCML"
"DIRAS2",0,0.812490906009942,0.701,0.21,0,"eSPN","DIRAS2"
"ACTN2",0,0.807595142840823,0.996,0.925,0,"eSPN","ACTN2"
"GRM71",0,0.807353340221679,1,0.977,0,"eSPN","GRM7"
"PLCB11",0,0.805854387381506,1,0.998,0,"eSPN","PLCB1"
"TENM41",0,0.795819672300966,1,0.986,0,"eSPN","TENM4"
"GRIK21",0,0.79155314270425,1,0.999,0,"eSPN","GRIK2"
"MSRA",0,0.789309634550789,0.999,0.989,0,"eSPN","MSRA"
"ZNF385D3",0,0.772983329800697,0.978,0.801,0,"eSPN","ZNF385D"
"DOCK101",0,0.771637642259152,0.89,0.609,0,"eSPN","DOCK10"
"PLXNA21",0,0.767308163957272,0.995,0.894,0,"eSPN","PLXNA2"
"PPFIA21",0,0.758516468482243,1,1,0,"eSPN","PPFIA2"
"FGD4",0,0.757394799090545,0.989,0.858,0,"eSPN","FGD4"
"SORL12",0,0.752644582101769,0.84,0.453,0,"eSPN","SORL1"
"ZSWIM61",0,0.752421176678188,1,0.997,0,"eSPN","ZSWIM6"
"GALNT132",0,0.751938319100087,1,0.991,0,"eSPN","GALNT13"
"ARL152",0,0.750052633489935,0.994,0.937,0,"eSPN","ARL15"
"PDIA5",0,0.749813151707746,0.714,0.266,0,"eSPN","PDIA5"
"NEDD4L1",0,0.748312670951171,1,0.992,0,"eSPN","NEDD4L"
"GHR1",0,0.745411453529601,0.647,0.28,0,"eSPN","GHR"
"GUCY1A11",0,0.741687971841926,0.991,0.877,0,"eSPN","GUCY1A1"
"IL1RAP1",0,0.737029960368567,0.671,0.261,0,"eSPN","IL1RAP"
"PEX14",0,0.736470095535274,0.905,0.615,0,"eSPN","PEX14"
"LINC00535",0,0.735172374027415,0.698,0.357,0,"eSPN","LINC00535"
"INSYN2A",0,0.732415750310194,0.904,0.586,0,"eSPN","INSYN2A"
"PRKCE2",0,0.731403554812386,1,0.982,0,"eSPN","PRKCE"
"SLC22A101",0,0.728955522501701,0.529,0.186,0,"eSPN","SLC22A10"
"NAV11",0,0.72548646898109,0.939,0.663,0,"eSPN","NAV1"
"C6orf141",0,0.719666599066872,0.927,0.661,0,"eSPN","C6orf141"
"PCDH101",0,0.71923164071388,0.987,0.891,0,"eSPN","PCDH10"
"SLC2A13",0,0.71563249651783,1,0.997,0,"eSPN","SLC2A13"
