"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRS1",1.14219048458721e-59,0.486545698934237,0.844,0.697,3.72982302741954e-55,"SPN_patch","PTPRS"
"BACH11",1.85224745748291e-59,0.297282933314458,0.363,0.152,6.04851407241044e-55,"SPN_patch","BACH1"
"MAP4K41",3.08875724968377e-59,0.263979290267861,0.637,0.366,1.00863367988424e-54,"SPN_patch","MAP4K4"
"WLS",4.57062369638768e-59,0.290207138215473,0.392,0.171,1.4925371680554e-54,"SPN_patch","WLS"
"ARHGAP17",1.07728607128602e-58,0.329127287892403,0.745,0.527,3.5178776657845e-54,"SPN_patch","ARHGAP17"
"ADGRB3",4.95978097861638e-57,0.251399220437302,1,1,1.61961647856718e-52,"SPN_patch","ADGRB3"
"CDH11",1.29184385300918e-56,0.588574604792057,0.989,0.967,4.21851610200147e-52,"SPN_patch","CDH11"
"DPYD",3.39778197874441e-56,0.369178321769463,0.999,0.96,1.10954570515899e-51,"SPN_patch","DPYD"
"SLITRK4",5.56196233185708e-56,0.320258963879749,0.52,0.285,1.81625879946793e-51,"SPN_patch","SLITRK4"
"AL590807.1",1.04613074364148e-55,0.289486736132796,0.333,0.137,3.41613994336125e-51,"SPN_patch","AL590807.1"
"GALNT131",4.20170399778157e-55,0.422206135158801,0.991,0.991,1.37206644047557e-50,"SPN_patch","GALNT13"
"PRSS23",4.83219537001258e-55,0.401474167852392,0.578,0.355,1.57795339807761e-50,"SPN_patch","PRSS23"
"BCL21",5.94389986170935e-55,0.342750793003285,0.47,0.237,1.94098049984119e-50,"SPN_patch","BCL2"
"PCDH171",6.84196035364881e-55,0.476389609401827,0.717,0.465,2.23424215348402e-50,"SPN_patch","PCDH17"
"FAM102B",2.17966174188212e-54,0.30662207176809,0.519,0.283,7.11768541811605e-50,"SPN_patch","FAM102B"
"TLL1",1.06680574474992e-53,0.323286020107903,0.598,0.333,3.48365415948086e-49,"SPN_patch","TLL1"
"LRRN11",5.88840071833926e-53,0.500809194232804,0.978,0.963,1.92285725457369e-48,"SPN_patch","LRRN1"
"UVRAG",1.60195526278608e-52,0.371745783458311,0.987,0.963,5.23118491062794e-48,"SPN_patch","UVRAG"
"SPANXA2-OT1",1.95884331305802e-52,0.535621803781306,0.721,0.495,6.39660283879096e-48,"SPN_patch","SPANXA2-OT1"
"TMEM178B1",3.10564081218367e-52,0.368459496912497,1,0.999,1.01414700721858e-47,"SPN_patch","TMEM178B"
"ARL151",3.07820607713796e-51,0.422203675702367,0.978,0.939,1.0051881944894e-46,"SPN_patch","ARL15"
"MYT1L",5.41651683000618e-51,0.362349523262949,0.999,1,1.76876357083852e-46,"SPN_patch","MYT1L"
"THRB",2.3625805244397e-50,0.431645116655119,0.989,0.97,7.71500670255785e-46,"SPN_patch","THRB"
"SLCO5A1",2.62803017097189e-50,0.26295590077714,0.493,0.258,8.5818325233087e-46,"SPN_patch","SLCO5A1"
"GPRIN3",5.47893390507144e-50,0.687226130774659,0.889,0.959,1.78914586670108e-45,"SPN_patch","GPRIN3"
"MAN1C11",6.64202044436035e-50,0.309473641452833,0.62,0.379,2.16895177610587e-45,"SPN_patch","MAN1C1"
"ARID1B",1.24072748865921e-49,0.260259386700636,1,1,4.05159561421665e-45,"SPN_patch","ARID1B"
"HRH3",2.2017368069382e-49,0.336118954908299,0.627,0.41,7.1897715430567e-45,"SPN_patch","HRH3"
"HS3ST4",3.61278090770873e-49,0.829763669786287,0.611,0.456,1.17975360541229e-44,"SPN_patch","HS3ST4"
"RBMS31",5.67638003681761e-49,0.301903854587497,0.951,0.909,1.85362190102279e-44,"SPN_patch","RBMS3"
"NECAB11",6.79433903781973e-49,0.386035598044741,0.995,0.987,2.21869141280003e-44,"SPN_patch","NECAB1"
"DACH11",7.80960212360633e-49,0.490911534568618,0.995,0.966,2.55022557346365e-44,"SPN_patch","DACH1"
"FAM155A1",9.73114068288584e-49,0.791117250197104,0.818,0.901,3.17770398999637e-44,"SPN_patch","FAM155A"
"AC090579.1",1.17796403156103e-48,0.290743757242175,0.345,0.159,3.84664154506254e-44,"SPN_patch","AC090579.1"
