"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"MAP3K13",1.87036300534028e-171,0.44028885542168,1,0.992,6.07325571464043e-167,"eSPN","MAP3K13",0.00800000000000001,0.00352231084337345
"CRADD",3.12183365195403e-171,0.584113384800364,0.991,0.907,1.01369060512599e-166,"eSPN","CRADD",0.084,0.0490655243232306
"VGF",4.12067255361724e-169,0.305135063216402,0.596,0.271,1.33802358488506e-164,"eSPN","VGF",0.325,0.0991688955453306
"PDLIM5",9.5394082480483e-169,0.495139100310604,0.794,0.527,3.09754125222376e-164,"eSPN","PDLIM5",0.267,0.132202139782931
"KIAA1549L",5.16741556846377e-161,0.408743138311668,1,0.999,1.67791150923587e-156,"eSPN","KIAA1549L",0.001,0.000408743138311669
"LYRM4",1.36299659096949e-156,0.469846969519647,0.971,0.883,4.42578623053704e-152,"eSPN","LYRM4",0.088,0.0413465333177289
"DLG1",1.22814660255793e-153,0.390260618436015,1,0.996,3.98791483316585e-149,"eSPN","DLG1",0.004,0.00156104247374406
"MPP7",1.99610229839333e-153,0.40558121447318,0.969,0.856,6.48154377311298e-149,"eSPN","MPP7",0.113,0.0458306772354694
"KLHL4",2.71874952840881e-153,0.40410930359309,0.73,0.406,8.82805159369623e-149,"eSPN","KLHL4",0.324,0.130931414364161
"DNAH7",2.01210560407579e-149,0.359058600836759,0.8,0.502,6.5335081069945e-145,"eSPN","DNAH7",0.298,0.106999463049354
"ARL6",5.70016191401496e-149,0.428644056170582,0.961,0.875,1.8508995750998e-144,"eSPN","ARL6",0.086,0.03686338883067
"KAT2B",5.95620030472906e-149,0.457177541270668,0.929,0.785,1.93403780094857e-144,"eSPN","KAT2B",0.144,0.0658335659429763
"RANBP9",3.63243140082573e-148,0.388082508625011,0.995,0.972,1.17948680016212e-143,"eSPN","RANBP9",0.023,0.00892589769837526
"SLITRK5",4.09782340608434e-145,0.382773834770098,0.988,0.937,1.33060423818964e-140,"eSPN","SLITRK5",0.0509999999999999,0.019521465573275
"FAM53B",5.13038331198142e-143,0.341548354938041,0.87,0.664,1.66588676523349e-138,"eSPN","FAM53B",0.206,0.0703589611172364
"PIK3R1",2.63055942003922e-138,0.456734355648945,0.991,0.972,8.54168949280934e-134,"eSPN","PIK3R1",0.019,0.00867795275732996
"OSBPL10",4.91098544599133e-137,0.397425001296638,0.918,0.723,1.59464608416785e-132,"eSPN","OSBPL10",0.195,0.0774978752528445
"NEO1",4.92231956831811e-137,0.364672309876737,0.997,0.967,1.59832638702857e-132,"eSPN","NEO1",0.03,0.0109401692963021
"FARS2",1.83404623759234e-136,0.411479583854217,0.999,0.997,5.95533153808608e-132,"eSPN","FARS2",0.002,0.000822959167708435
