"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"OPRM1",3.26039190548602e-184,0.402531638412581,0.859,0.664,1.05868185563036e-179,"SPN_patch","OPRM1",0.195,0.0784936694904532
"LAMP5",1.61594284117573e-180,0.27492027678544,0.932,0.77,5.24712799958171e-176,"SPN_patch","LAMP5",0.162,0.0445370848392413
"HIVEP2",3.68940403553088e-179,0.307365354877117,1,0.999,1.19798638437723e-174,"SPN_patch","HIVEP2",0.001,0.000307365354877117
"SORCS2",6.20559044273497e-179,0.300288933357582,0.974,0.916,2.01501727266047e-174,"SPN_patch","SORCS2",0.0579999999999999,0.0174167581347397
"OLFM3",7.04358629624587e-179,0.286270603314024,0.996,0.966,2.287122906254e-174,"SPN_patch","OLFM3",0.03,0.00858811809942072
"STUM",1.03367534443924e-176,0.277105631577706,0.763,0.562,3.35644721092866e-172,"SPN_patch","STUM",0.201,0.055698231947119
"GABRA5",1.1859506046969e-175,0.289622400577606,0.902,0.739,3.8509002085113e-171,"SPN_patch","GABRA5",0.163,0.0472084512941498
"KHDRBS2",1.49644468827139e-174,0.425394951360641,1,0.964,4.85910554728603e-170,"SPN_patch","KHDRBS2",0.036,0.0153142182489831
"SNCA",1.07253395885118e-173,0.310068132616909,0.991,0.917,3.48262501778567e-169,"SPN_patch","SNCA",0.074,0.0229450418136512
"PCDH17",1.50329118640264e-171,0.328201409510386,0.847,0.656,4.881336811368e-167,"SPN_patch","PCDH17",0.191,0.0626864692164836
"OTOGL",2.19890342724908e-171,0.399159872609247,0.163,0.043,7.14005931862049e-167,"SPN_patch","OTOGL",0.12,0.0478991847131096
"CALD1",2.86714244562082e-169,0.312770037949398,0.804,0.642,9.30989823517536e-165,"SPN_patch","CALD1",0.162,0.0506687461478025
"B3GLCT",1.20022407003199e-167,0.286148842164655,0.997,0.98,3.89724757780088e-163,"SPN_patch","B3GLCT",0.017,0.00486453031679914
"CTNNA1",3.62718535639228e-167,0.298920608055053,0.921,0.807,1.17778335707414e-162,"SPN_patch","CTNNA1",0.114,0.0340769493182761
"GRAMD1B",1.01109378759005e-165,0.300910606873962,0.982,0.946,3.28312263768364e-161,"SPN_patch","GRAMD1B",0.036,0.0108327818474626
"CDH7",3.78640488894412e-164,0.375698527142354,0.974,0.888,1.22948353148904e-159,"SPN_patch","CDH7",0.086,0.0323100733342424
"KCNK2",3.29673281482202e-160,0.344466201057819,0.937,0.869,1.07048211230086e-155,"SPN_patch","KCNK2",0.0680000000000001,0.0234237016719317
"MPPED2",1.01276137958719e-159,0.267368363535205,1,0.994,3.28853747565757e-155,"SPN_patch","MPPED2",0.00600000000000001,0.00160421018121123
"ZNF804A",1.10032317785181e-159,0.516563138063,0.985,0.962,3.57285939080263e-155,"SPN_patch","ZNF804A",0.023,0.011880952175449
"BCL11A",2.51537782980708e-157,0.270132294913537,0.982,0.886,8.16768335116657e-153,"SPN_patch","BCL11A",0.096,0.0259327003116995
"SLC38A11",1.23170797452886e-156,0.325636946741545,0.551,0.346,3.99947896409267e-152,"SPN_patch","SLC38A11",0.205,0.0667555740820168
"FBXL7",2.9496802174084e-156,0.428079312774295,0.354,0.171,9.57790663394682e-152,"SPN_patch","FBXL7",0.183,0.078338514237696
"MRTFB",1.62821234433758e-155,0.259230684225109,1,0.998,5.28696830329855e-151,"SPN_patch","MRTFB",0.002,0.000518461368450219
"THRB",6.3279262904889e-150,0.278048038405948,0.999,0.988,2.05474094578465e-145,"SPN_patch","THRB",0.011,0.00305852842246543
"GREB1L",1.364208792347e-149,0.337253606845906,0.905,0.801,4.42972236962993e-145,"SPN_patch","GREB1L",0.104,0.0350743751119742
"SEMA3D",4.82840326496436e-145,0.250795085655308,0.447,0.257,1.56783082416658e-140,"SPN_patch","SEMA3D",0.19,0.0476510662745085
"RNF150",1.98970743133768e-142,0.265176016064441,1,0.999,6.46077900029657e-138,"SPN_patch","RNF150",0.001,0.000265176016064441
"BAZ2B",6.65543342518213e-139,0.253308216552426,1,0.998,2.16108578749089e-134,"SPN_patch","BAZ2B",0.002,0.000506616433104853
"TRPS1",7.69005800862656e-137,0.386262351229587,0.998,0.987,2.49703873598113e-132,"SPN_patch","TRPS1",0.011,0.00424888586352546
"ST6GALNAC3",5.00102030099198e-123,0.315219846443074,0.977,0.947,1.62388130193511e-118,"SPN_patch","ST6GALNAC3",0.03,0.00945659539329224
"UST",2.34717581705712e-119,0.265597149390924,0.914,0.803,7.62151459556618e-115,"SPN_patch","UST",0.111,0.0294812835823926
"JARID2",1.00454037361432e-118,0.280227881366216,0.998,0.99,3.26184304716304e-114,"SPN_patch","JARID2",0.00800000000000001,0.00224182305092973
"NNAT",8.89174698990905e-112,0.290710571108375,0.872,0.724,2.88723916509337e-107,"SPN_patch","NNAT",0.148,0.0430251645240395
"HS6ST2",4.81099972857337e-102,0.29047845468961,0.911,0.82,1.56217972186506e-97,"SPN_patch","HS6ST2",0.0910000000000001,0.0264335393767545
"PSME4",7.62919322912029e-100,0.302568275425092,0.991,0.98,2.47727533342765e-95,"SPN_patch","PSME4",0.011,0.00332825102967602
"TAC1",4.72193492092994e-90,0.346984775199214,0.831,0.676,1.53325948817516e-85,"SPN_patch","TAC1",0.155,0.0537826401558781
"CCDC196",1.37454906878838e-67,0.306438914610008,0.314,0.198,4.46329828126275e-63,"SPN_patch","CCDC196",0.116,0.0355469140947609
"SLC22A10",9.71071526378415e-46,0.348239040973897,0.319,0.226,3.15316635330335e-41,"SPN_patch","SLC22A10",0.093,0.0323862308105724
"GRIK3",8.92280919706896e-32,0.314219250162924,0.4,0.342,2.89732537438026e-27,"SPN_patch","GRIK3",0.058,0.0182247165094496
