"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LINC01060",0,0.333734628097283,0.232,0.081,0,"SPN_exotic","LINC01060"
"GRIA1",0,0.332816791980333,1,0.994,0,"SPN_exotic","GRIA1"
"TPD52L1",0,0.331468237057838,0.979,0.903,0,"SPN_exotic","TPD52L1"
"ATRNL1",0,0.331407377526888,1,0.984,0,"SPN_exotic","ATRNL1"
"TENM1",0,0.331195297372786,0.878,0.721,0,"SPN_exotic","TENM1"
"PLCB1",0,0.323336448234357,1,0.997,0,"SPN_exotic","PLCB1"
"KIAA2012",0,0.320801513714843,0.5,0.205,0,"SPN_exotic","KIAA2012"
"KCNIP4-IT1",0,0.317519734331631,0.984,0.901,0,"SPN_exotic","KCNIP4-IT1"
"CACNB21",0,0.317158509218754,1,0.998,0,"SPN_exotic","CACNB2"
"GPM6A",0,0.311920376819146,0.998,0.983,0,"SPN_exotic","GPM6A"
"LAMP5",0,0.309452576090867,0.823,0.615,0,"SPN_exotic","LAMP5"
"AC008786.1",0,0.308746785466837,0.361,0.151,0,"SPN_exotic","AC008786.1"
"FRMD4B",0,0.306446022789953,0.992,0.936,0,"SPN_exotic","FRMD4B"
"MCTP1",0,0.305225520527502,1,0.987,0,"SPN_exotic","MCTP1"
"SORBS1",0,0.300893872562284,1,0.998,0,"SPN_exotic","SORBS1"
"GAD2",0,0.296071515661933,0.995,0.97,0,"SPN_exotic","GAD2"
"NETO1",0,0.29522121981408,0.999,0.97,0,"SPN_exotic","NETO1"
"FGF14",0,0.294779524516371,1,1,0,"SPN_exotic","FGF14"
"AL138720.1",0,0.292569242544636,0.228,0.045,0,"SPN_exotic","AL138720.1"
"TLN2",0,0.285549089067743,0.989,0.964,0,"SPN_exotic","TLN2"
"KL",0,0.282231004818755,0.393,0.105,0,"SPN_exotic","KL"
"PPP2R2C",0,0.275199603210786,0.999,0.992,0,"SPN_exotic","PPP2R2C"
"RBFOX1",0,0.272159971938351,1,0.999,0,"SPN_exotic","RBFOX1"
"HTR2A",0,0.270144115099766,0.346,0.144,0,"SPN_exotic","HTR2A"
"MAN1C1",0,0.262534981211938,0.588,0.341,0,"SPN_exotic","MAN1C1"
"LDB3",0,0.256464682758269,0.537,0.278,0,"SPN_exotic","LDB3"
"RASAL2",0,0.252873692411435,1,0.999,0,"SPN_exotic","RASAL2"
"DPP6",0,0.25213576165797,1,0.999,0,"SPN_exotic","DPP6"
"SLIT2",1.46360258462964e-303,0.364686631052901,0.992,0.942,4.77939424010808e-299,"SPN_exotic","SLIT2"
"GRM31",1.01689666217502e-302,0.394681011377048,0.997,0.937,3.32067605033252e-298,"SPN_exotic","GRM3"
"FER1L6-AS2",1.13772606730809e-300,0.297375626026156,0.46,0.258,3.71524447279456e-296,"SPN_exotic","FER1L6-AS2"
"CTNNA1",8.88337218865706e-299,0.303017097829005,0.856,0.726,2.90086518820596e-294,"SPN_exotic","CTNNA1"
"PCDH17",2.28924053385062e-297,0.293861725641935,0.646,0.434,7.47551496328921e-293,"SPN_exotic","PCDH17"
"B3GLCT",4.52908645657277e-293,0.284699525500541,0.992,0.965,1.47897318239384e-288,"SPN_exotic","B3GLCT"
"CALD1",4.27243226754505e-290,0.252280994799648,0.666,0.471,1.39516275696684e-285,"SPN_exotic","CALD1"
"GREB1L",3.75270114895134e-284,0.361456136337109,0.873,0.727,1.22544456019006e-279,"SPN_exotic","GREB1L"
"EFNA5",1.32308085771689e-283,0.305860529867631,0.999,0.972,4.3205205408745e-279,"SPN_exotic","EFNA5"
"FBXL7",2.12190117163738e-281,0.322950789497105,0.302,0.139,6.92906827598188e-277,"SPN_exotic","FBXL7"
"GNG7",1.69891045059195e-275,0.281905151749005,1,0.978,5.547792076408e-271,"SPN_exotic","GNG7"
"FSTL41",2.972521796952e-269,0.319280634242451,0.999,0.971,9.70676992794675e-265,"SPN_exotic","FSTL4"
"ST6GALNAC3",7.34838317834854e-269,0.343499739458516,0.956,0.894,2.39961452688972e-264,"SPN_exotic","ST6GALNAC3"
"RYR3",2.64333396021109e-267,0.271121498053128,1,0.964,8.6318070470693e-263,"SPN_exotic","RYR3"
"ONECUT21",1.24981873070726e-266,0.277336513268409,0.995,0.923,4.08128306512457e-262,"SPN_exotic","ONECUT2"
"SNCA",3.63449565362156e-263,0.289521505840573,0.978,0.904,1.18684455569012e-258,"SPN_exotic","SNCA"
"ASAP2",6.61316106862369e-263,0.274984456063502,0.979,0.944,2.15952774695906e-258,"SPN_exotic","ASAP2"
"RASGRP1",8.15627417871392e-263,0.25296269703988,0.931,0.829,2.66343133305903e-258,"SPN_exotic","RASGRP1"
"BMPER",3.98937706503597e-257,0.268385056122843,0.802,0.635,1.3027310805875e-252,"SPN_exotic","BMPER"
"ENOX1",1.32732544255646e-254,0.265547266179187,0.999,0.985,4.33438123266812e-250,"SPN_exotic","ENOX1"
"MYO3A",1.71896725420523e-254,0.311293771247662,0.816,0.655,5.61328756860719e-250,"SPN_exotic","MYO3A"
"OLFM3",3.69772150146146e-253,0.266283847559804,0.979,0.935,1.20749095630224e-248,"SPN_exotic","OLFM3"
"ST6GALNAC5",3.04364496829975e-248,0.297572094860215,0.991,0.941,9.93902264398285e-244,"SPN_exotic","ST6GALNAC5"
"MEIS2",1.32002276505368e-242,0.255804830402569,1,0.955,4.3105343392828e-238,"SPN_exotic","MEIS2"
"STRIP21",5.36134859029614e-232,0.251621774645178,1,0.951,1.7507483821612e-227,"SPN_exotic","STRIP2"
"TRPS1",1.05629066707748e-219,0.357382598247647,0.975,0.95,3.44931717334152e-215,"SPN_exotic","TRPS1"
"NNAT",5.49023368504749e-218,0.252267911030268,0.631,0.451,1.79283580985226e-213,"SPN_exotic","NNAT"
"LRRN1",1.03568190513431e-214,0.268790075809899,0.992,0.957,3.38201926121608e-210,"SPN_exotic","LRRN1"
"SERPINI2",1.62709260447486e-211,0.322817005351387,0.339,0.197,5.31327089991267e-207,"SPN_exotic","SERPINI2"
"FOXO11",3.76176870427307e-205,0.251106634419472,0.995,0.915,1.22840557038037e-200,"SPN_exotic","FOXO1"
"AQP4-AS1",1.00388152913095e-198,0.310446109589321,0.981,0.923,3.27817513337712e-194,"SPN_exotic","AQP4-AS1"
"PCLO",4.15371523089491e-183,0.25503639865067,1,1,1.35639570864873e-178,"SPN_exotic","PCLO"
"TAC1",2.74017775555362e-165,0.332848083231457,0.724,0.583,8.94805046076033e-161,"SPN_exotic","TAC1"
"ZNF385D",2.90481806658651e-160,0.275582329976308,0.854,0.801,9.48568339643826e-156,"SPN_exotic","ZNF385D"
"KCNK2",1.96207397857169e-156,0.257157982683679,0.868,0.801,6.40715257702585e-152,"SPN_exotic","KCNK2"
"AL139379.11",4.65979065731635e-133,0.299905751535319,0.839,0.738,1.52165463914665e-128,"SPN_exotic","AL139379.1"
"AL138701.21",1.78365942886175e-130,0.298523605678233,0.847,0.747,5.82453986494806e-126,"SPN_exotic","AL138701.2"
"MT-ND1",1.27070713113601e-09,0.278541741487357,0.843,0.842,4.14949413672465e-05,"SPN_exotic","MT-ND1"
