"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_subtract","weighted_logFC"
"CTNNBIP1",1.09387093698811e-257,0.255759883706588,0.563,0.298,3.5519083194941e-253,"non-SPN","CTNNBIP1",0.265,0.0677763691822457
"NEK1",1.68850637747085e-257,0.371195472222573,0.995,0.986,5.4827490582856e-253,"non-SPN","NEK1",0.00900000000000001,0.00334075925000316
"CNRIP1",3.85733753364154e-257,0.288295247443187,0.785,0.599,1.25251607054874e-252,"non-SPN","CNRIP1",0.186,0.0536229160244328
"TVP23C",2.22586709563435e-256,0.31565657570795,0.973,0.914,7.2276130462343e-252,"non-SPN","TVP23C",0.0589999999999999,0.018623737966769
"PRDM5",5.4639589763865e-256,0.31428639116865,0.526,0.268,1.77420211922246e-251,"non-SPN","PRDM5",0.258,0.0810858889215118
"IREB2",6.41468153967632e-256,0.300131511846265,0.967,0.902,2.0829112427483e-251,"non-SPN","IREB2",0.0649999999999999,0.0195085482700072
"USP49",1.31422037210079e-255,0.2981186307015,0.871,0.718,4.26740497024849e-251,"non-SPN","USP49",0.153,0.0456121504973296
"ACO1",6.30760428472189e-255,0.274406673224895,0.778,0.567,2.04814218729204e-250,"non-SPN","ACO1",0.211,0.057899808050453
"MTMR3",6.52438873548469e-255,0.313164522892437,0.983,0.949,2.11853426629923e-250,"non-SPN","MTMR3",0.034,0.0106475937783429
"TSTD2",7.69715676419231e-255,0.260212314306573,0.614,0.355,2.49934377290088e-250,"non-SPN","TSTD2",0.259,0.0673949894054025
"ACYP1",1.1327250892891e-254,0.255458266823395,0.576,0.322,3.67807163743063e-250,"non-SPN","ACYP1",0.254,0.0648863997731424
"MANBA",3.54590564852707e-254,0.336848150269815,0.926,0.807,1.15139102313323e-249,"non-SPN","MANBA",0.119,0.040084929882108
"BRI3BP",5.53507105107343e-254,0.280406733105017,0.712,0.493,1.79729292099405e-249,"non-SPN","BRI3BP",0.219,0.0614090745499988
"RAD21",5.82474296951512e-254,0.295240414929569,0.864,0.728,1.89135228963125e-249,"non-SPN","RAD21",0.136,0.0401526964304214
"NRIP1",3.11492361478937e-253,0.427255021855577,0.907,0.801,1.01144684695826e-248,"non-SPN","NRIP1",0.106,0.0452890323166912
"YWHAQ",3.16940487881452e-253,0.28652809931764,0.826,0.659,1.02913745819986e-248,"non-SPN","YWHAQ",0.167,0.0478501925860458
"VOPP1",3.31130604712336e-253,0.395024255909358,0.799,0.616,1.07521418656143e-248,"non-SPN","VOPP1",0.183,0.0722894388314126
"CCDC149",3.56281927958747e-253,0.298513191671794,0.738,0.535,1.15688304827485e-248,"non-SPN","CCDC149",0.203,0.0605981779093742
"GPRASP1",1.56012772084761e-252,0.290306398048498,0.92,0.811,5.06589072236428e-248,"non-SPN","GPRASP1",0.109,0.0316433973872863
"PXK",1.93884815178217e-252,0.263946826121366,0.933,0.872,6.29563383365187e-248,"non-SPN","PXK",0.0610000000000001,0.0161007563934033
"PAFAH1B2",6.58721888772088e-252,0.279699497912492,0.793,0.596,2.13893584503185e-247,"non-SPN","PAFAH1B2",0.197,0.055100801088761
"ST8SIA5",9.97906300936934e-252,0.502412892953562,0.71,0.531,3.24030154977232e-247,"non-SPN","ST8SIA5",0.179,0.0899319078386875
"SDK1",1.1207941121379e-251,1.07283902956945,0.422,0.19,3.63933056152298e-247,"non-SPN","SDK1",0.232,0.248898654860112
"TUBE1",1.67646689118838e-251,0.27077098895968,0.862,0.713,5.44365564237779e-247,"non-SPN","TUBE1",0.149,0.0403448773549923
"CPEB1",1.25380780623269e-250,0.314534627520494,0.868,0.711,4.07123932761817e-246,"non-SPN","CPEB1",0.157,0.0493819365207176
"SRGAP2B",2.51455618640961e-250,0.284044796423112,0.811,0.637,8.16501539289065e-246,"non-SPN","SRGAP2B",0.174,0.0494237945776216
"LRRC37A3",1.69897601388872e-249,0.2793349733008,0.812,0.64,5.51674501469806e-245,"non-SPN","LRRC37A3",0.172,0.0480456154077377
"TBC1D9",2.07003995637875e-249,0.311213693120467,0.926,0.816,6.72162674235744e-245,"non-SPN","TBC1D9",0.11,0.0342335062432515
"FAN1",3.64284265753599e-249,0.284476170459159,0.805,0.625,1.18286743932851e-244,"non-SPN","FAN1",0.18,0.0512057106826486
"BCL2",4.17403924264841e-249,0.389206492366569,0.66,0.394,1.35535228248037e-244,"non-SPN","BCL2",0.266,0.103528926969507
"ARID5B",4.18958900947171e-249,0.772616024109949,0.855,0.798,1.36040144726556e-244,"non-SPN","ARID5B",0.0569999999999999,0.0440391133742671
"SPG11",1.79019312204545e-248,0.299196699657074,0.948,0.861,5.8129360865938e-244,"non-SPN","SPG11",0.087,0.0260301128701654
"SRSF5",3.99797101248647e-248,0.305172941481683,0.983,0.943,1.29818116746448e-243,"non-SPN","SRSF5",0.04,0.0122069176592673
"SEZ6L2",4.03450542339046e-248,0.307713464570872,0.899,0.772,1.31004425602912e-243,"non-SPN","SEZ6L2",0.127,0.0390796100005008
"IDH3A",1.72951411830833e-247,0.275809371402,0.852,0.725,5.61590529355897e-243,"non-SPN","IDH3A",0.127,0.035027790168054
"TXNDC16",5.46955754996819e-247,0.369916603367938,0.97,0.898,1.77602003205017e-242,"non-SPN","TXNDC16",0.072,0.0266339954424915
"SCOC",1.8722058346919e-244,0.313345575830667,0.841,0.688,6.07923956582807e-240,"non-SPN","SCOC",0.153,0.047941873102092
"CCDC186",1.90029183724562e-244,0.280617317568334,0.854,0.701,6.17043762472025e-240,"non-SPN","CCDC186",0.153,0.0429344495879551
"XRN2",4.23560447709697e-244,0.282359214385047,0.945,0.86,1.37534312975816e-239,"non-SPN","XRN2",0.085,0.024000533222729
"TM9SF3",6.97930714591852e-244,0.313101735759756,0.963,0.911,2.2662508233512e-239,"non-SPN","TM9SF3",0.0519999999999999,0.0162812902595073
"PRIMPOL",1.28515147459634e-243,0.278119168165501,0.633,0.386,4.17301535316178e-239,"non-SPN","PRIMPOL",0.247,0.0686954345368789
"ULK2",1.71095691903302e-243,0.314763285720651,0.972,0.893,5.55564821179213e-239,"non-SPN","ULK2",0.079,0.0248662995719314
"UBXN2A",2.03427770678712e-243,0.275061589335613,0.79,0.585,6.60550314170847e-239,"non-SPN","UBXN2A",0.205,0.0563876258138006
"DOK5",2.31981592077043e-243,0.38746738322196,0.753,0.55,7.53267427633365e-239,"non-SPN","DOK5",0.203,0.0786558787940579
"RB1CC1",2.95485051094052e-243,0.329416592893955,0.998,0.983,9.59469509407498e-239,"non-SPN","RB1CC1",0.015,0.00494124889340933
"PPFIBP1",7.18267170624806e-243,0.461817779817391,0.728,0.57,2.33228532973581e-238,"non-SPN","PPFIBP1",0.158,0.0729672092111477
"ANKHD1",8.35911203437522e-243,0.316854214913173,0.99,0.965,2.71428726868198e-238,"non-SPN","ANKHD1",0.025,0.00792135537282933
"FUT8",9.28054208966024e-243,0.415594129669471,0.999,0.997,3.01348482193358e-238,"non-SPN","FUT8",0.002,0.000831188259338944
"STAT3",1.01257272775073e-242,0.269513517694877,0.732,0.495,3.2879249042794e-238,"non-SPN","STAT3",0.237,0.0638747036936859
"CEP85L",7.48282437077288e-242,0.344600192084203,0.992,0.974,2.42974790143366e-237,"non-SPN","CEP85L",0.018,0.00620280345751566
"ABHD6",6.04530718156432e-241,0.290313689596538,0.76,0.584,1.96297169492575e-236,"non-SPN","ABHD6",0.176,0.0510952093689906
"HNRNPH1",1.25311057832015e-240,0.263327906434631,0.95,0.885,4.06897535886337e-236,"non-SPN","HNRNPH1",0.0649999999999999,0.017116313918251
"B4GALT6",6.89672974460316e-240,0.332646441734889,0.94,0.867,2.23943711537009e-235,"non-SPN","B4GALT6",0.073,0.0242831902466469
"NAA35",1.80250269424925e-239,0.288162430752369,0.951,0.86,5.85290649849674e-235,"non-SPN","NAA35",0.091,0.0262227811984656
